CID_pubchem,drug_name,DDInterIDs,joined_to_ddinter,display_name
4889,"3,5-Dihydroxy-7-(6-hydroxy-2-methyl-8-((2-methylbutanoyl)oxy)-1,2,6,7,8,8a-hexahydronaphthalen-1-yl)heptanoic acid",,no,
4893,Prazosin,DDInter1511,yes,Prazosin
4894,"11,17,21-Trihydroxypregna-1,4-diene-3,20-dione",,no,
4900,"17,21-Dihydroxypregna-1,4-diene-3,11,20-trione",,no,
4909,Primidone,DDInter1521,yes,Primidone
4911,Probenecid,DDInter1522,yes,Probenecid
4913,Procainamide,DDInter1524,yes,
4917,Prochlorperazine,DDInter1527,yes,Prochlorperazine
4920,"1-acetyl-9a,11a-dimethyl-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-one",,no,
4927,Promethazine,DDInter1533,yes,Promethazine
4932,Propafenone,DDInter1534,yes,Propafenone
4943,Propofol,DDInter1538,yes,Propofol
4946,Propranolol,DDInter1539,yes,Propranolol
4991,Pyridostigmine,DDInter1548,yes,Pyridostigmine
4993,Pyrimethamine,DDInter1550,yes,
4999,Quazepam,DDInter1552,yes,
5002,Quetiapine,DDInter1553,yes,Quetiapine
5005,"2-(N-(1-Ethoxy-1-oxo-4-phenylbutan-2-yl)alanyl)-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid",,no,
5035,Raloxifene,DDInter1562,yes,Raloxifene
5038,1-(2-((1-Ethoxy-1-oxo-4-phenylbutan-2-yl)amino)propanoyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid,DDInter1565,yes,
5039,Ranisen,,no,
5040,(RS)-rapamycin,,no,
5052,Hydroflumethiazide; reserpine,,no,
5070,Riluzole,DDInter1596,yes,
5073,Risperidone,DDInter1605,yes,Risperidone
5076,"N-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",DDInter1607,yes,Ritonavir
5077,3-[1-(Dimethylamino)ethyl]phenyl ethyl(methyl)carbamate,DDInter1610,yes,Rivastigmine
5078,Rizatriptan,DDInter1611,yes,
5090,Rofecoxib,DDInter1613,yes,Rofecoxib
5095,Ropinirole,DDInter1619,yes,Ropinirole
51263,Alfentanil,DDInter43,yes,
5152,Salmeterol,DDInter1635,yes,Salmeterol
5155,"1-[5-(Hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione",,no,
5184,"9-Methyl-3-oxa-9-azatricyclo(3.3.1.02,4)nonan-7-yl tropate",DDInter1647,yes,Scopolamine
5195,(+-)-Selegiline,DDInter1653,yes,
5203,"4-(3,4-Dichlorophenyl)-1,2,3,4-tetrahydro-N-methyl-1-naphthalenamine",,no,
5206,Sevoflurane,DDInter1664,yes,
5210,Sibutramine,DDInter1665,yes,
5212,,,no,
5215,Sulfadiazine,DDInter1721,yes,Sulfadiazine
5267,Duraspiron,,no,
5281007,,,no,
5291,Imatinib,DDInter909,yes,Imatinib
5297,Strept-omycin,,no,
5352,5-Fluoro-2-methyl-1-((4-(methylsulfinyl)phenyl)methylene)-1H-indene-3-acetic acid,,no,
5353980,,,no,
5358,Sumatriptan,DDInter1730,yes,Sumatriptan
5362070,,,no,
5372,"Tacrolimus-13C,D2",,no,
5376,"(E,Z)-Tamoxifen",DDInter1744,yes,Tamoxifen
5381226,,,no,
5391,Temazepam,DDInter1761,yes,Temazepam
5394,Temozolomide,DDInter1762,yes,Temozolomide
5401,Terazosin,DDInter1767,yes,Terazosin
5402,"N,6,6-Trimethyl-N-((naphthalen-1-yl)methyl)hept-2-en-4-yn-1-amine",,no,
5408,"17-Hydroxy-10,13-Dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-Dodecahydrocyclopenta(A)Phenanthren-3-One",,no,
5426,Thalidomide,DDInter1789,yes,Thalidomide
54454,Simvastatin,DDInter1675,yes,Simvastatin
5453,Thiotepa,DDInter1797,yes,Thiotepa
5454,Thiothixene (USAN:USP),DDInter1798,yes,Thiothixene (USAN:USP)
5466,"1-[4,4-Bis(3-methylthiophen-2-yl)but-3-en-1-yl]piperidine-3-carboxylic acid",,no,
54688,"11-(4-dimethylamino-3-hydroxy-6-methyltetrahydro-2H-2-pyranyloxy)-3-ethyl-4,5-dihydroxy-13-(5-hydroxy-4-methoxy-4,6-dimethyltetrahydro-2H-2-pyranyloxy)-10-methoxy-4,6,8,10,12,14-hexamethyl-2-oxacyclotetradecane-1,7-dione",,no,
5472,Ticlopidine,DDInter1804,yes,Ticlopidine
5478,(+-)-Timolol,DDInter1809;DDInter1810,yes,Timolol
54786,Treprostinil Impurity 19,DDInter1852,yes,
5487,Tizanidine,DDInter1821,yes,
5493381,,,no,
5505,Tolbutamide,DDInter1828,yes,
5512,2-(3-(Di(propan-2-yl)amino)-1-phenylpropyl)-4-methylphenol,DDInter1832,yes,Tolterodine
