CID_A,drug_A,CID_B,drug_B,enzyme_gene,direction,severity,DB_A,DB_B,drugbank_hard_proven
4946,Propranolol,176870,Erlotinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00571,DB00530,No
4946,Propranolol,176870,Erlotinib,CYP1A2,inhibition,Unknown,DB00571,DB00530,No
5291,Imatinib,124087,Desloratadine,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00619,DB00967,No
5291,Imatinib,124087,Desloratadine,CYP1A2,inhibition,Unknown,DB00619,DB00967,No
4485,Nifedipine,176870,Erlotinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB01115,DB00530,No
4485,Nifedipine,176870,Erlotinib,CYP2C8,inhibition,Unknown,DB01115,DB00530,No
4485,Nifedipine,176870,Erlotinib,CYP3A4,induction,Unknown,DB01115,DB00530,No
4485,Nifedipine,176870,Erlotinib,ABCB1 (P-gp),transporter_induction,Unknown,DB01115,DB00530,No
4679,Pantoprazole,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00213,DB00619,No
4679,Pantoprazole,5291,Imatinib,CYP1A2,induction,Unknown,DB00213,DB00619,No
4679,Pantoprazole,5291,Imatinib,CYP3A4,inhibition,Unknown,DB00213,DB00619,No
2187,Anastrozole,2585,Carvedilol,CYP1A2,inhibition,Unknown,DB01217,DB01136,No
2662,Celecoxib,4917,Prochlorperazine,CYP2D6,inhibition,Moderate,DB00482,DB00433,No
2662,Celecoxib,3559,Haloperidol,CYP3A4,inhibition,Moderate,DB00482,DB00502,No
2662,Celecoxib,3559,Haloperidol,CYP2D6,induction,Moderate,DB00482,DB00502,No
4058,Meperidine,13342,Vinblastine,CYP3A4,inhibition,Unknown,DB00454,DB00570,No
2662,Celecoxib,4173,Metronidazole,CYP3A4,inhibition,Moderate,DB00482,DB00916,No
2244,Aspirin,5426,Thalidomide,CYP2C19,induction,Unknown,DB00945,DB01041,No
2244,Aspirin,5426,Thalidomide,CYP2C19,inhibition,Unknown,DB00945,DB01041,No
3385,5-Fluorouracil,4173,Metronidazole,CYP2C9,inhibition,Moderate,DB00544,DB00916,No
2662,Celecoxib,3463,Gemfibrozil,CYP3A4,induction,Moderate,DB00482,DB01241,No
2662,Celecoxib,3463,Gemfibrozil,CYP3A4,inhibition,Moderate,DB00482,DB01241,No
2895,Cyclobenzaprine,4212,Mitoxantrone,CYP3A4,inhibition,Unknown,DB00924,DB01204,No
4679,Pantoprazole,5426,Thalidomide,CYP1A2,induction,Unknown,DB00213,DB01041,No
4679,Pantoprazole,5426,Thalidomide,CYP2C19,inhibition,Unknown,DB00213,DB01041,No
4583,Ofloxacin,176870,Erlotinib,CYP1A2,inhibition,Unknown,DB01165,DB00530,No
2160,Amitriptyline,3899,Leflunomide,CYP2C9,inhibition,Unknown,DB00321,DB01097,No
2244,Aspirin,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00945,DB01101,No
2375,Bicalutamide,4171,Metoprolol,CYP2D6,inhibition,Unknown,DB01128,DB00264,No
54454,Simvastatin,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00641,DB01101,No
54454,Simvastatin,60953,Capecitabine,CYP2C9,induction,Unknown,DB00641,DB01101,No
2162,Amlodipine,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00381,DB01101,No
2478,Busulfan,3365,Fluconazole,CYP3A4,inhibition,Unknown,DB01008,DB00196,No
1775,Phenytoin,2907,Cyclophosphamide,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00252,DB00531,No
1775,Phenytoin,2907,Cyclophosphamide,CYP3A4,induction,Moderate,DB00252,DB00531,No
1775,Phenytoin,2907,Cyclophosphamide,CYP3A4,inhibition,Moderate,DB00252,DB00531,No
5426,Thalidomide,5656,Venlafaxine,CYP2C19,inhibition,Moderate,DB01041,DB00285,No
2244,Aspirin,5291,Imatinib,CYP2C9,inhibition,Unknown,DB00945,DB00619,No
2244,Aspirin,5291,Imatinib,CYP2C19,induction,Unknown,DB00945,DB00619,No
2244,Aspirin,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00945,DB00619,No
2662,Celecoxib,2895,Cyclobenzaprine,CYP2D6,inhibition,Unknown,DB00482,DB00924,No
4917,Prochlorperazine,5291,Imatinib,CYP3A4,inhibition,Moderate,DB00433,DB00619,No
3676,Lidocaine,5426,Thalidomide,CYP1A2,inhibition,Unknown,DB00281,DB01041,No
3676,Lidocaine,5426,Thalidomide,CYP3A5,induction,Unknown,DB00281,DB01041,No
2907,Cyclophosphamide,3883,Lansoprazole,CYP3A4,induction,Unknown,DB00531,DB00448,No
2907,Cyclophosphamide,3883,Lansoprazole,CYP3A4,inhibition,Unknown,DB00531,DB00448,No
2907,Cyclophosphamide,3883,Lansoprazole,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00448,No
3385,5-Fluorouracil,3672,"Ibuprofen, (+-)-",ABCC4 (MRP4),transporter_inhibition,Unknown,DB00544,DB01050,No
3385,5-Fluorouracil,3672,"Ibuprofen, (+-)-",CYP2C9,inhibition,Unknown,DB00544,DB01050,No
2662,Celecoxib,4829,Pioglitazone,CYP2C9,inhibition,Unknown,DB00482,DB01132,No
2662,Celecoxib,4829,Pioglitazone,CYP3A4,induction,Unknown,DB00482,DB01132,No
2662,Celecoxib,3826,Ketorolac,PTGS2,inhibition,Major,DB00482,DB00465,Yes
1775,Phenytoin,2662,Celecoxib,CYP2C9,inhibition,Unknown,DB00252,DB00482,Yes
1775,Phenytoin,2662,Celecoxib,CYP3A4,induction,Unknown,DB00252,DB00482,Yes
2520,Verapamil,3902,Letrozole,CYP3A4,inhibition,Unknown,DB00661,DB01006,No
3961,Losartan,176870,Erlotinib,CYP2C8,inhibition,Unknown,DB00678,DB00530,No
3961,Losartan,176870,Erlotinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00678,DB00530,No
3899,Leflunomide,5391,Temazepam,CYP2C9,inhibition,Unknown,DB01097,DB00231,No
4173,Metronidazole,4212,Mitoxantrone,CYP3A4,inhibition,Unknown,DB00916,DB01204,No
4595,Ondansetron,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00904,DB00317,No
5291,Imatinib,5426,Thalidomide,CYP3A5,induction,Moderate,DB00619,DB01041,No
5291,Imatinib,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB00619,DB01041,No
2662,Celecoxib,4927,Promethazine,CYP2C9,inhibition,Moderate,DB00482,DB01069,No
2802,Clonazepam,3690,Ifosfamide,CYP3A4,inhibition,Moderate,DB01068,DB01181,No
2802,Clonazepam,3690,Ifosfamide,CYP3A4,induction,Moderate,DB01068,DB01181,No
3385,5-Fluorouracil,5095,Ropinirole,CYP1A2,inhibition,Unknown,DB00544,DB00268,No
3386,Fluoxetine,5426,Thalidomide,CYP3A5,induction,Moderate,DB00472,DB01041,No
3386,Fluoxetine,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB00472,DB01041,No
3385,5-Fluorouracil,5090,Rofecoxib,CYP1A2,inhibition,Unknown,DB00544,DB00533,No
3385,5-Fluorouracil,5090,Rofecoxib,ABCC4 (MRP4),transporter_inhibition,Unknown,DB00544,DB00533,No
3345,Fentanyl,104741,Fulvestrant,CYP3A4,inhibition,Unknown,DB00813,DB00947,No
3961,Losartan,123631,Gefitinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00678,DB00317,No
3961,Losartan,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB00678,DB00317,No
3825,Ketoprofen,3899,Leflunomide,CYP2C9,inhibition,Major,DB01009,DB01097,No
2187,Anastrozole,3016,Diazepam,CYP1A2,inhibition,Unknown,DB01217,DB00829,No
1983,Acetaminophen,2662,Celecoxib,CYP3A4,induction,Unknown,DB00316,DB00482,No
1983,Acetaminophen,2662,Celecoxib,CYP2D6,inhibition,Unknown,DB00316,DB00482,No
2187,Anastrozole,27661,Isosorbide Mononitrate,CYP3A4,inhibition,Unknown,DB01217,DB01020,No
444,Bupropion,3657,Hydroxyurea,CYP2D6,inhibition,Unknown,DB01156,DB01005,No
4212,Mitoxantrone,4594,Prilosec,CYP3A4,inhibition,Unknown,DB01204,DB00338,No
