CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
3365,Fluconazole,5394,Temozolomide,CYP3A4,P08684,induction,Unknown
3365,Fluconazole,5394,Temozolomide,CYP3A4,P08684,inhibition,Unknown
2375,Bicalutamide,4917,Prochlorperazine,CYP3A4,P08684,inhibition,Moderate
3657,Hydroxyurea,3883,Lansoprazole,CYP2D6,P10635,inhibition,Unknown
3672,"Ibuprofen, (+-)-",5426,Thalidomide,CYP2C19,P33261,inhibition,Unknown
3657,Hydroxyurea,5076,"N-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",CYP2D6,P10635,inhibition,Unknown
2662,Celecoxib,4205,Mirtazapine,CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,4205,Mirtazapine,CYP2D6,P10635,induction,Moderate
3488,Glibenclamide,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3488,Glibenclamide,5291,Imatinib,CYP3A4,P08684,inhibition,Unknown
2478,Busulfan,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
4946,Propranolol,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
4946,Propranolol,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4946,Propranolol,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
4946,Propranolol,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
5512,2-(3-(Di(propan-2-yl)amino)-1-phenylpropyl)-4-methylphenol,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",CYP2C9,P11712,induction,Unknown
2662,Celecoxib,3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",CYP3A4,P08684,inhibition,Unknown
14888,Arsenic Trioxide,54454,Simvastatin,ABCC2 (MRP2),Q92887,transporter_induction,Unknown
14888,Arsenic Trioxide,54454,Simvastatin,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
14888,Arsenic Trioxide,54454,Simvastatin,CYP3A4,P08684,induction,Unknown
14888,Arsenic Trioxide,54454,Simvastatin,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2907,Cyclophosphamide,5291,Imatinib,CYP3A4,P08684,induction,Moderate
2907,Cyclophosphamide,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
2244,Aspirin,176870,Erlotinib,CYP2C8,P10632,inhibition,Unknown
2083,Salbutamol,2662,Celecoxib,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,4168,Metoclopramide,CYP2D6,P10635,inhibition,Unknown
2662,Celecoxib,3869,Labetalol,CYP2D6,P10635,inhibition,Moderate
2187,Anastrozole,3883,Lansoprazole,CYP3A4,P08684,inhibition,Unknown
2187,Anastrozole,3883,Lansoprazole,CYP1A2,P05177,induction,Unknown
2662,Celecoxib,3016,Diazepam,CYP3A4,P08684,inhibition,Unknown
4679,Pantoprazole,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
4679,Pantoprazole,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4679,Pantoprazole,5978,Vincristine,CYP3A4,P08684,induction,Unknown
4679,Pantoprazole,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2812,Clotrimazole,5426,Thalidomide,CYP2C19,P33261,inhibition,Unknown
3899,Leflunomide,124087,Desloratadine,CYP1A2,P05177,inhibition,Unknown
4205,Mirtazapine,93860,"Bortezomib, (1S,2R)-",CYP2D6,P10635,induction,Unknown
4205,Mirtazapine,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
2907,Cyclophosphamide,5453,Thiotepa,CYP3A4,P08684,induction,Major
2907,Cyclophosphamide,5453,Thiotepa,CYP2B6,P20813,inhibition,Major
2771,Citalopram,216239,Sorafenib,CYP3A4,P08684,inhibition,Major
5426,Thalidomide,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Moderate
3657,Hydroxyurea,4463,Nevirapine,CYP2D6,P10635,inhibition,Unknown
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,5291,Imatinib,CYP3A4,P08684,inhibition,Unknown
3365,Fluconazole,10631,Medroxyprogesterone,CYP3A4,P08684,induction,Moderate
3365,Fluconazole,10631,Medroxyprogesterone,CYP2C9,P11712,inhibition,Moderate
444,Bupropion,176870,Erlotinib,CYP2C8,P10632,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",5394,Temozolomide,CYP3A4,P08684,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",5394,Temozolomide,CYP3A4,P08684,induction,Unknown
5073,Risperidone,5394,Temozolomide,CYP3A4,P08684,inhibition,Unknown
5073,Risperidone,5394,Temozolomide,CYP3A4,P08684,induction,Unknown
2187,Anastrozole,3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",CYP2C9,P11712,inhibition,Unknown
2162,Amlodipine,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
2162,Amlodipine,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2162,Amlodipine,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2662,Celecoxib,4771,Phentermine,CYP2C9,P11712,induction,Unknown
2662,Celecoxib,4771,Phentermine,CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,54454,Simvastatin,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,54454,Simvastatin,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,54454,Simvastatin,CYP3A4,P08684,inhibition,Unknown
60198,Exemestane,150311,Ezetimibe,CYP3A4,P08684,inhibition,Unknown
2520,Verapamil,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
4409,Nabumetone,216326,Lenalidomide,PTGS2,P35354,inhibition,Unknown
5291,Imatinib,65999,Telmisartan,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
5291,Imatinib,65999,Telmisartan,CYP2C19,P33261,inhibition,Unknown
5426,Thalidomide,5732,Zolpidem,CYP3A5,P20815,induction,Moderate
5426,Thalidomide,5732,Zolpidem,CYP2C19,P33261,inhibition,Moderate
2907,Cyclophosphamide,3954,Loperamide(1+),ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,3954,Loperamide(1+),CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3954,Loperamide(1+),CYP3A4,P08684,inhibition,Unknown
2187,Anastrozole,3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,5472,Ticlopidine,CYP3A4,P08684,inhibition,Moderate
2554,Carbamazepine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Moderate
2554,Carbamazepine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2554,Carbamazepine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Moderate
2554,Carbamazepine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Moderate
1983,Acetaminophen,5291,Imatinib,CYP3A4,P08684,induction,Moderate
1983,Acetaminophen,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
1983,Acetaminophen,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2771,Citalopram,123631,Gefitinib,CYP2C19,P33261,inhibition,Unknown
2907,Cyclophosphamide,4616,Oxazepam,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,4616,Oxazepam,CYP3A4,P08684,inhibition,Unknown
2803,Clonidine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
2803,Clonidine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2803,Clonidine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
2803,Clonidine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,123606,Almotriptan,CYP2D6,P10635,inhibition,Unknown
4946,Propranolol,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
4946,Propranolol,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4946,Propranolol,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
54454,Simvastatin,216239,Sorafenib,CYP3A4,P08684,inhibition,Unknown
54454,Simvastatin,216239,Sorafenib,CYP3A4,P08684,induction,Unknown
54454,Simvastatin,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,4634,Oxybutynin,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,4634,Oxybutynin,CYP3A4,P08684,induction,Unknown
3016,Diazepam,104741,Fulvestrant,CYP3A4,P08684,inhibition,Unknown
4171,Metoprolol,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
3899,Leflunomide,4691,"3-(1,3-Benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",CYP2C9,P11712,inhibition,Unknown
5002,Quetiapine,5426,Thalidomide,CYP3A5,P20815,induction,Moderate
5002,Quetiapine,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
2895,Cyclobenzaprine,123631,Gefitinib,CYP2D6,P10635,inhibition,Unknown
2771,Citalopram,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2771,Citalopram,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",216239,Sorafenib,CYP3A4,P08684,inhibition,Unknown
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",216239,Sorafenib,CYP2C9,P11712,induction,Unknown
2083,Salbutamol,176870,Erlotinib,CYP3A4,P08684,inhibition,Unknown
2806,(RS)-Clopidogrel,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Minor
2806,(RS)-Clopidogrel,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Minor
2806,(RS)-Clopidogrel,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Minor
2806,(RS)-Clopidogrel,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Minor
3016,Diazepam,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
3016,Diazepam,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3016,Diazepam,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
3016,Diazepam,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",5656,Venlafaxine,ABCG2 (BCRP),Q9UNQ0,transporter_induction,Moderate
5376,"(E,Z)-Tamoxifen",5656,Venlafaxine,CYP3A4,P08684,inhibition,Moderate
5376,"(E,Z)-Tamoxifen",5656,Venlafaxine,CYP3A4,P08684,induction,Moderate
5376,"(E,Z)-Tamoxifen",5656,Venlafaxine,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3255,"6-((4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl)oxy)-14-ethyl-7,12,13-trihydroxy-4-((5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy)-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione",123631,Gefitinib,CYP3A4,P08684,inhibition,Moderate
3255,"6-((4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl)oxy)-14-ethyl-7,12,13-trihydroxy-4-((5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy)-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione",123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3255,"6-((4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl)oxy)-14-ethyl-7,12,13-trihydroxy-4-((5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy)-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione",123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_induction,Moderate
14888,Arsenic Trioxide,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
2083,Salbutamol,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2083,Salbutamol,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",5391,Temazepam,CYP3A4,P08684,induction,Unknown
5376,"(E,Z)-Tamoxifen",5391,Temazepam,CYP3A4,P08684,inhibition,Unknown
41781,Torasemide,216239,Sorafenib,CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2662,Celecoxib,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
3672,"Ibuprofen, (+-)-",216326,Lenalidomide,PTGS2,P35354,inhibition,Unknown
4168,Metoclopramide,123631,Gefitinib,CYP2D6,P10635,inhibition,Unknown
3961,Losartan,5426,Thalidomide,CYP3A5,P20815,induction,Unknown
3961,Losartan,5426,Thalidomide,CYP2C19,P33261,inhibition,Unknown
2662,Celecoxib,2719,Chloroquine,CYP2D6,P10635,inhibition,Moderate
2375,Bicalutamide,3672,"Ibuprofen, (+-)-",CYP2C9,P11712,inhibition,Unknown
3365,Fluconazole,176870,Erlotinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3365,Fluconazole,176870,Erlotinib,CYP3A4,P08684,inhibition,Unknown
2187,Anastrozole,5035,Raloxifene,CYP3A4,P08684,inhibition,Unknown
444,Bupropion,2187,Anastrozole,CYP1A2,P05177,inhibition,Unknown
4595,Ondansetron,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,123631,Gefitinib,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,3158,Doxepin,CYP2D6,P10635,inhibition,Moderate
2764,Ciprofloxacin,3385,5-Fluorouracil,CYP1A2,P05177,inhibition,Minor
2375,Bicalutamide,27661,Isosorbide Mononitrate,CYP3A4,P08684,inhibition,Unknown
5732,Zolpidem,14888,Arsenic Trioxide,CYP3A4,P08684,inhibition,Unknown
4205,Mirtazapine,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,4946,Propranolol,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,4946,Propranolol,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,4946,Propranolol,CYP2D6,P10635,inhibition,Unknown
2083,Salbutamol,3902,Letrozole,CYP3A4,P08684,inhibition,Unknown
3365,Fluconazole,5978,Vincristine,CYP3A4,P08684,inhibition,Moderate
3365,Fluconazole,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3365,Fluconazole,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Moderate
5291,Imatinib,5391,Temazepam,CYP3A4,P08684,inhibition,Unknown
5478,(+-)-Timolol,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
5478,(+-)-Timolol,123631,Gefitinib,CYP2C19,P33261,inhibition,Moderate
4212,Mitoxantrone,54454,Simvastatin,ABCB1 (P-gp),P08183,transporter_induction,Unknown
4212,Mitoxantrone,54454,Simvastatin,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4212,Mitoxantrone,54454,Simvastatin,CYP3A4,P08684,induction,Unknown
4212,Mitoxantrone,54454,Simvastatin,CYP3A4,P08684,inhibition,Unknown
3559,Haloperidol,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3559,Haloperidol,123631,Gefitinib,CYP2D6,P10635,induction,Unknown
3559,Haloperidol,123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,3793,Itrizole,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,3793,Itrizole,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3793,Itrizole,CYP3A4,P08684,inhibition,Unknown
1983,Acetaminophen,3657,Hydroxyurea,CYP2D6,P10635,inhibition,Unknown
3883,Lansoprazole,104741,Fulvestrant,CYP3A4,P08684,induction,Unknown
3883,Lansoprazole,104741,Fulvestrant,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,148211,"Palonosetron, (3aR)-",CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,148211,"Palonosetron, (3aR)-",CYP3A4,P08684,inhibition,Unknown
3324,Famciclovir,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
2764,Ciprofloxacin,4212,Mitoxantrone,CYP3A4,P08684,inhibition,Minor
2764,Ciprofloxacin,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_induction,Minor
2764,Ciprofloxacin,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_inhibition,Minor
3961,Losartan,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
3961,Losartan,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3961,Losartan,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
3899,Leflunomide,3957,Loratadine,CYP2C9,P11712,inhibition,Unknown
2250,Atorvastatin EP Impurity B,3902,Letrozole,CYP3A4,P08684,induction,Unknown
2250,Atorvastatin EP Impurity B,3902,Letrozole,CYP3A4,P08684,inhibition,Unknown
3899,Leflunomide,4829,Pioglitazone,CYP2C9,P11712,inhibition,Major
3345,Fentanyl,216239,Sorafenib,CYP3A4,P08684,inhibition,Unknown
3345,Fentanyl,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
5978,Vincristine,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,3404,5-Methoxy-1-(4-(trifluoromethyl)phenyl)-1-pentanone O-(2-aminoethyl)oxime,CYP3A4,P08684,inhibition,Moderate
3157,Doxazosin,216239,Sorafenib,CYP2C19,P33261,inhibition,Unknown
3157,Doxazosin,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Moderate
2907,Cyclophosphamide,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2907,Cyclophosphamide,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Moderate
2907,Cyclophosphamide,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Moderate
3032,Arthrotec,3899,Leflunomide,CYP2C9,P11712,inhibition,Major
4034,Meclizine,5426,Thalidomide,CYP1A2,P05177,inhibition,Moderate
3385,5-Fluorouracil,3478,Glipizide,CYP2C9,P11712,inhibition,Unknown
2520,Verapamil,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2520,Verapamil,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_induction,Moderate
2520,Verapamil,123631,Gefitinib,CYP2C9,P11712,inhibition,Moderate
5394,Temozolomide,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
5394,Temozolomide,5978,Vincristine,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,4485,Nifedipine,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2907,Cyclophosphamide,4485,Nifedipine,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,4485,Nifedipine,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,4485,Nifedipine,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,3324,Famciclovir,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3324,Famciclovir,CYP3A4,P08684,inhibition,Unknown
5291,Imatinib,3062316,Dasatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
5291,Imatinib,3062316,Dasatinib,CYP3A4,P08684,inhibition,Moderate
3016,Diazepam,3385,5-Fluorouracil,CYP2C9,P11712,inhibition,Unknown
2520,Verapamil,3899,Leflunomide,ABCG2 (BCRP),Q9UNQ0,transporter_inhibition,Unknown
2520,Verapamil,3899,Leflunomide,CYP2C9,P11712,inhibition,Unknown
3793,Itrizole,5426,Thalidomide,CYP3A5,P20815,induction,Unknown
3793,Itrizole,5426,Thalidomide,CYP2E1,P05181,inhibition,Unknown
2375,Bicalutamide,3032,Arthrotec,CYP2C9,P11712,inhibition,Unknown
5391,Temazepam,5978,Vincristine,CYP3A4,P08684,inhibition,Unknown
3961,Losartan,104741,Fulvestrant,CYP3A4,P08684,inhibition,Unknown
3345,Fentanyl,60198,Exemestane,CYP3A4,P08684,inhibition,Unknown
2118,Alprazolam,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
3385,5-Fluorouracil,4927,Promethazine,CYP2C9,P11712,inhibition,Unknown
2187,Anastrozole,54454,Simvastatin,CYP3A4,P08684,induction,Unknown
2187,Anastrozole,54454,Simvastatin,CYP3A4,P08684,inhibition,Unknown
2771,Citalopram,3657,Hydroxyurea,CYP2D6,P10635,inhibition,Unknown
3385,5-Fluorouracil,123631,Gefitinib,ABCG2 (BCRP),Q9UNQ0,transporter_inhibition,Unknown
3385,5-Fluorouracil,123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
2187,Anastrozole,2802,Clonazepam,CYP3A4,P08684,inhibition,Unknown
3365,Fluconazole,4212,Mitoxantrone,CYP3A4,P08684,inhibition,Unknown
3365,Fluconazole,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_induction,Unknown
3365,Fluconazole,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2662,Celecoxib,216326,Lenalidomide,PTGS2,P35354,inhibition,Unknown
2662,Celecoxib,3696,Imipramine,CYP2D6,P10635,inhibition,Moderate
3715,Indomethacin,216326,Lenalidomide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
3715,Indomethacin,216326,Lenalidomide,PTGS2,P35354,inhibition,Unknown
3157,Doxazosin,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
2554,Carbamazepine,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Major
2554,Carbamazepine,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,induction,Major
5376,"(E,Z)-Tamoxifen",104741,Fulvestrant,CYP3A4,P08684,induction,Unknown
5376,"(E,Z)-Tamoxifen",104741,Fulvestrant,CYP3A4,P08684,inhibition,Unknown
2375,Bicalutamide,5090,Rofecoxib,CYP3A4,P08684,induction,Unknown
2375,Bicalutamide,5090,Rofecoxib,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,3394,Flurbiprofen,ABCC4 (MRP4),O15439,transporter_inhibition,Moderate
2662,Celecoxib,3394,Flurbiprofen,PTGS2,P35354,inhibition,Moderate
2160,Amitriptyline,2662,Celecoxib,CYP2D6,P10635,inhibition,Moderate
5090,Rofecoxib,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
5090,Rofecoxib,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
444,Bupropion,216239,Sorafenib,CYP1A2,P05177,inhibition,Unknown
1775,Phenytoin,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
1775,Phenytoin,5978,Vincristine,CYP3A4,P08684,inhibition,Moderate
1775,Phenytoin,5978,Vincristine,CYP3A4,P08684,induction,Moderate
1775,Phenytoin,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Moderate
3899,Leflunomide,4679,Pantoprazole,CYP1A2,P05177,induction,Unknown
3899,Leflunomide,4679,Pantoprazole,CYP2C9,P11712,inhibition,Unknown
3899,Leflunomide,4679,Pantoprazole,ABCG2 (BCRP),Q9UNQ0,transporter_inhibition,Unknown
4829,Pioglitazone,216239,Sorafenib,CYP3A4,P08684,inhibition,Unknown
4829,Pioglitazone,216239,Sorafenib,CYP3A4,P08684,induction,Unknown
4927,Promethazine,93860,"Bortezomib, (1S,2R)-",CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,5533,Trazodone,CYP2D6,P10635,inhibition,Moderate
2907,Cyclophosphamide,4917,Prochlorperazine,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,4917,Prochlorperazine,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,5077,3-[1-(Dimethylamino)ethyl]phenyl ethyl(methyl)carbamate,CYP3A4,P08684,inhibition,Unknown
3657,Hydroxyurea,5073,Risperidone,CYP2D6,P10635,inhibition,Unknown
2187,Anastrozole,2803,Clonidine,CYP1A2,P05177,inhibition,Unknown
2162,Amlodipine,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2162,Amlodipine,123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
2662,Celecoxib,4409,Nabumetone,PTGS2,P35354,inhibition,Moderate
4829,Pioglitazone,10631,Medroxyprogesterone,CYP3A4,P08684,induction,Minor
4829,Pioglitazone,10631,Medroxyprogesterone,CYP2C9,P11712,inhibition,Minor
3793,Itrizole,10631,Medroxyprogesterone,CYP3A4,P08684,induction,Moderate
3793,Itrizole,10631,Medroxyprogesterone,CYP3A4,P08684,inhibition,Moderate
4595,Ondansetron,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_induction,Moderate
2907,Cyclophosphamide,4212,Mitoxantrone,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,4212,Mitoxantrone,CYP3A4,P08684,induction,Moderate
2907,Cyclophosphamide,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
4595,Ondansetron,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Unknown
