CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
2955,Dapsone,5426,Thalidomide,CYP3A5,P20815,induction,Moderate
2955,Dapsone,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
2662,Celecoxib,4748,Perphenazine,CYP2D6,P10635,inhibition,Moderate
3385,5-Fluorouracil,3386,Fluoxetine,CYP1A2,P05177,inhibition,Unknown
4205,Mirtazapine,216239,Sorafenib,CYP2D6,P10635,induction,Moderate
4205,Mirtazapine,216239,Sorafenib,CYP1A2,P05177,inhibition,Moderate
2806,(RS)-Clopidogrel,4212,Mitoxantrone,CYP3A4,P08684,inhibition,Unknown
2806,(RS)-Clopidogrel,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2806,(RS)-Clopidogrel,4212,Mitoxantrone,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4158,Methylphenidate,123631,Gefitinib,CYP2D6,P10635,inhibition,Unknown
3961,Losartan,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",5584,Trimipramine,ABCB1 (P-gp),P08183,transporter_induction,Moderate
5376,"(E,Z)-Tamoxifen",5584,Trimipramine,CYP3A4,P08684,induction,Moderate
5376,"(E,Z)-Tamoxifen",5584,Trimipramine,CYP3A4,P08684,inhibition,Moderate
5376,"(E,Z)-Tamoxifen",5584,Trimipramine,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3016,Diazepam,93860,"Bortezomib, (1S,2R)-",CYP1A2,P05177,inhibition,Minor
3032,Arthrotec,5426,Thalidomide,CYP2C19,P33261,inhibition,Unknown
2801,Clomipramine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Moderate
2801,Clomipramine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2801,Clomipramine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Moderate
2801,Clomipramine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Moderate
3690,Ifosfamide,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,induction,Unknown
3690,Ifosfamide,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
3676,Lidocaine,3902,Letrozole,CYP2A6,P11509,inhibition,Unknown
3657,Hydroxyurea,4485,Nifedipine,CYP2D6,P10635,inhibition,Unknown
3962,"8-(2-(4-Hydroxy-6-oxooxan-2-yl)ethyl)-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2-methylbutanoate",5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
