drug_A,drug_B,enzymes,mechanism,severity,in_trial,trial_AEs,in_trueDDI
5-Fluorouracil,Nifedipine,"ABCC3, CYP1A2, CYP2C9","CYP induction, CYP inhibition, transporter induction",Unknown,No,0,No
Acetaminophen,Bortezomib,"CYP1A2, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Hydroxyurea,Metoprolol,CYP2D6,CYP inhibition,Unknown,No,0,No
Zolpidem,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Celecoxib,Nisoldipine,CYP3A4,CYP inhibition,Unknown,No,0,No
Cyclobenzaprine,Cyclophosphamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Anastrozole,Pantoprazole,"CYP1A2, CYP2C9","CYP induction, CYP inhibition",Unknown,No,0,No
5-Fluorouracil,Simvastatin,CYP2C9,"CYP induction, CYP inhibition",Unknown,No,0,No
Aspirin,Tamoxifen,"ABCB1 (P-gp), CYP2C19, CYP2C9","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Prilosec,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Lansoprazole,Leflunomide,"ABCG2 (BCRP), CYP1A2, CYP2C9","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Irbesartan,Bortezomib,CYP1A2,CYP inhibition,Unknown,No,0,No
Zolpidem,Sorafenib,CYP1A2,CYP inhibition,Unknown,No,0,No
3-(1-Methylpyrrolidin-2-yl)pyridine,Celecoxib,CYP2D6,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Enalapril,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Haloperidol,"ABCB1 (P-gp), CYP2D6, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Metronidazole,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Prochlorperazine,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Fluoxetine,Letrozole,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Fentanyl,CYP3A4,CYP inhibition,Unknown,No,0,No
Thalidomide,Tolterodine,CYP2C19,CYP inhibition,Unknown,No,0,No
Celecoxib,Doxazosin,CYP2D6,CYP inhibition,Unknown,No,0,No
Celecoxib,Isradipine,CYP3A4,CYP inhibition,Unknown,No,0,No
Clopidogrel,Leflunomide,CYP2C9,CYP inhibition,Unknown,No,0,No
Metoprolol,Tamoxifen,"ABCB1 (P-gp), CYP2D6","CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Pioglitazone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
5-Fluorouracil,Ondansetron,CYP1A2,CYP inhibition,Unknown,No,0,No
5-Fluorouracil,Propranolol,CYP1A2,CYP inhibition,Unknown,No,0,No
Lansoprazole,Sorafenib,"ABCB1 (P-gp), CYP1A2","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,Yes
Indapamide,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Clopidogrel,Erlotinib,CYP2C8,CYP inhibition,Unknown,No,0,No
Letrozole,Methimazole,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Oxybutynin,CYP3A4,CYP inhibition,Unknown,No,0,No
Zolpidem,Bortezomib,CYP1A2,CYP inhibition,Unknown,No,0,No
Lidocaine,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Celecoxib,Ropinirole,CYP2D6,CYP inhibition,Unknown,No,0,No
Modafinil,Capecitabine,CYP2C9,"CYP induction, CYP inhibition",Unknown,No,0,No
Celecoxib,Pilocarpine,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Felodipine,CYP3A4,CYP inhibition,Unknown,No,0,No
5-Fluorouracil,Losartan,CYP1A2,CYP inhibition,Unknown,No,0,No
Buspirone,Celecoxib,CYP2D6,CYP inhibition,Unknown,No,0,No
Mitoxantrone,Ondansetron,CYP3A4,CYP inhibition,Unknown,No,0,No
Atorvastatin EP Impurity B,Cyclophosphamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Leflunomide,Trimethoprim,CYP2C9,CYP inhibition,Unknown,No,0,No
Carvedilol,Cyclophosphamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Mirtazapine,Exemestane,CYP3A4,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Metoclopramide,CYP2D6,CYP inhibition,Unknown,No,0,No
Celecoxib,Ezetimibe,CYP3A4,CYP inhibition,Unknown,No,0,No
Theophylline,Celecoxib,CYP2D6,CYP inhibition,Unknown,No,0,No
Glibenclamide,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Prilosec,Thalidomide,CYP2C19,CYP inhibition,Unknown,No,0,No
Hydroxyurea,Prochlorperazine,CYP2D6,CYP inhibition,Unknown,No,0,No
Acetaminophen,Lenalidomide,"ABCB1 (P-gp), PTGS2","CYP inhibition, transporter inhibition",Unknown,No,0,No
Mitoxantrone,Prochlorperazine,CYP3A4,CYP inhibition,Unknown,No,0,No
Acetaminophen,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Lidocaine,Leflunomide,CYP2C9,CYP inhibition,Unknown,No,0,No
Temozolomide,Simvastatin,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Hydroxyurea,Simvastatin,CYP2D6,CYP inhibition,Unknown,No,0,No
Loratadine,Sorafenib,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Amlodipine,Bortezomib,CYP1A2,CYP inhibition,Unknown,No,0,No
Anastrozole,Loratadine,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Anastrozole,Ezetimibe,CYP3A4,CYP inhibition,Unknown,No,0,No
Felodipine,Sorafenib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Unknown,No,0,No
Amoxicillin,Bortezomib,CYP2C19,CYP inhibition,Unknown,No,0,No
Fenofibrate,5-Fluorouracil,CYP2C9,CYP inhibition,Unknown,No,0,No
Prilosec,Imatinib,CYP3A4,CYP inhibition,Unknown,No,0,Yes
Clopidogrel,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Leflunomide,Nifedipine,"CYP1A2, CYP2C9","CYP induction, CYP inhibition",Unknown,No,0,No
Capecitabine,Desloratadine,CYP2C9,CYP inhibition,Unknown,No,0,No
Celecoxib,Pantoprazole,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Azelastine,Celecoxib,CYP2D6,CYP inhibition,Unknown,No,0,No
Cimetidine,Cyclophosphamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Atovaquone,CYP2C9,"CYP induction, CYP inhibition",Unknown,No,0,No
Clopidogrel,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Unknown,No,0,No
Anastrozole,Tolterodine,CYP3A4,CYP inhibition,Unknown,No,0,No
Losartan,Bortezomib,CYP1A2,CYP inhibition,Unknown,No,0,No
Celecoxib,Nefazodone,CYP3A4,CYP inhibition,Unknown,No,0,No
Metoclopramide,Erlotinib,CYP2D6,CYP inhibition,Unknown,No,0,No
Citalopram,Mitoxantrone,CYP3A4,CYP inhibition,Unknown,No,0,No
Ibuprofen,Tamoxifen,"ABCB1 (P-gp), CYP2C9","CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Glibenclamide,Gefitinib,"ABCB1 (P-gp), CYP2C9","CYP inhibition, transporter inhibition",Unknown,No,0,No
Lidocaine,Bortezomib,CYP1A2,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Irbesartan,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Atorvastatin EP Impurity B,Capecitabine,CYP2C9,"CYP induction, CYP inhibition",Unknown,No,0,No
Leflunomide,Venlafaxine,"ABCG2 (BCRP), CYP2C9","CYP inhibition, transporter induction",Unknown,No,0,No
Salbutamol,Anastrozole,CYP3A4,CYP inhibition,Unknown,No,0,No
Enalapril,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Leflunomide,Tolterodine,CYP2C9,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Fluconazole,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,Yes
Bicalutamide,Glibenclamide,CYP3A4,CYP inhibition,Unknown,No,0,No
Propranolol,Erlotinib,"ABCB1 (P-gp), CYP1A2","CYP inhibition, transporter inhibition",Unknown,No,0,No
Imatinib,Desloratadine,"ABCB1 (P-gp), CYP1A2","CYP inhibition, transporter inhibition",Unknown,No,0,No
Nifedipine,Erlotinib,"ABCB1 (P-gp), CYP2C8, CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Clopidogrel,Thalidomide,"CYP2C19, CYP3A5","CYP induction, CYP inhibition",Unknown,No,0,No
Pantoprazole,Imatinib,"ABCB1 (P-gp), CYP1A2, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,Yes
Anastrozole,Carvedilol,CYP1A2,CYP inhibition,Unknown,No,0,No
Meperidine,Vinblastine,CYP3A4,CYP inhibition,Unknown,No,0,No
Aspirin,Thalidomide,CYP2C19,"CYP induction, CYP inhibition",Unknown,No,0,No
Furosemide,Methotrexate,"ABCC2 (MRP2), PGD, SLCO1B1 (OATP1B1)","CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Cyclobenzaprine,Mitoxantrone,CYP3A4,CYP inhibition,Unknown,No,0,No
Pantoprazole,Thalidomide,"CYP1A2, CYP2C19","CYP induction, CYP inhibition",Unknown,No,0,No
Ofloxacin,Erlotinib,CYP1A2,CYP inhibition,Unknown,No,0,No
Amitriptyline,Leflunomide,CYP2C9,CYP inhibition,Unknown,No,0,No
Aspirin,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Bicalutamide,Metoprolol,CYP2D6,CYP inhibition,Unknown,No,0,No
Simvastatin,Capecitabine,CYP2C9,"CYP induction, CYP inhibition",Unknown,No,0,No
Amlodipine,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Busulfan,Fluconazole,CYP3A4,CYP inhibition,Unknown,No,0,No
Aspirin,Imatinib,"ABCB1 (P-gp), CYP2C19, CYP2C9","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Celecoxib,Cyclobenzaprine,CYP2D6,CYP inhibition,Unknown,No,0,No
Lidocaine,Thalidomide,"CYP1A2, CYP3A5","CYP induction, CYP inhibition",Unknown,No,0,No
Cyclophosphamide,Lansoprazole,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Lovastatin,Erlotinib,"ABCB1 (P-gp), CYP2C8","CYP inhibition, transporter inhibition",Unknown,No,0,No
5-Fluorouracil,Ibuprofen,"ABCC4 (MRP4), CYP2C9","CYP inhibition, transporter inhibition",Unknown,No,0,No
Celecoxib,Pioglitazone,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Alprazolam,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Phenytoin,Celecoxib,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,Yes
Atorvastatin EP Impurity B,Fulvestrant,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Verapamil,Letrozole,CYP3A4,CYP inhibition,Unknown,No,0,No
Losartan,Erlotinib,"ABCB1 (P-gp), CYP2C8","CYP inhibition, transporter inhibition",Unknown,No,0,No
Fenofibrate,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Pantoprazole,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Leflunomide,Temazepam,CYP2C9,CYP inhibition,Unknown,No,0,No
Metronidazole,Mitoxantrone,CYP3A4,CYP inhibition,Unknown,No,0,No
Ondansetron,Gefitinib,CYP2C9,CYP inhibition,Unknown,No,0,No
Loperamide,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Erythromycin,CYP3A4,CYP inhibition,Unknown,No,0,No
5-Fluorouracil,Ropinirole,CYP1A2,CYP inhibition,Unknown,No,0,No
Bortezomib,Ezetimibe,CYP3A4,CYP inhibition,Unknown,No,0,No
5-Fluorouracil,Rofecoxib,"ABCC4 (MRP4), CYP1A2","CYP inhibition, transporter inhibition",Unknown,No,0,No
Acetaminophen,Arsenic Trioxide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Fentanyl,Fulvestrant,CYP3A4,CYP inhibition,Unknown,No,0,No
Clonazepam,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Fentanyl,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Losartan,Gefitinib,"ABCB1 (P-gp), CYP2C9","CYP inhibition, transporter inhibition",Unknown,No,0,No
Anastrozole,Diazepam,CYP1A2,CYP inhibition,Unknown,No,0,No
Acetaminophen,Celecoxib,"CYP2D6, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Anastrozole,Isosorbide Mononitrate,CYP3A4,CYP inhibition,Unknown,No,0,No
Bupropion,Hydroxyurea,CYP2D6,CYP inhibition,Unknown,No,0,No
Mitoxantrone,Prilosec,CYP3A4,CYP inhibition,Unknown,No,0,No
Fentanyl,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Amlodipine,Exemestane,CYP3A4,CYP inhibition,Unknown,No,0,No
Ondansetron,Vincristine,CYP3A4,CYP inhibition,Unknown,No,0,No
Clopidogrel,Cyclophosphamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Ciprofloxacin,Leflunomide,CYP1A2,CYP inhibition,Unknown,No,0,No
Fluconazole,5-Fluorouracil,CYP2C9,CYP inhibition,Unknown,No,0,No
Celecoxib,Lidocaine,CYP3A4,CYP inhibition,Unknown,No,0,No
Citalopram,Vincristine,CYP3A4,CYP inhibition,Unknown,No,0,No
Verapamil,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Alprazolam,5-Fluorouracil,CYP2C9,CYP inhibition,Unknown,No,0,No
(3H)granisetron,Bortezomib,"CYP2D6, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Aspirin,Lenalidomide,PTGS2,CYP inhibition,Unknown,No,0,No
Nifedipine,Bortezomib,"CYP1A2, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Enalapril,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Voriconazole,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Cyclophosphamide,Pantoprazole,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Leflunomide,Propranolol,CYP1A2,CYP inhibition,Unknown,No,0,No
Mitoxantrone,Voriconazole,CYP3A4,CYP inhibition,Unknown,No,0,No
Metoclopramide,Bortezomib,CYP2D6,CYP inhibition,Unknown,No,0,No
Ibuprofen,Bortezomib,CYP2C9,CYP inhibition,Unknown,No,0,No
Amlodipine,Letrozole,CYP2A6,CYP inhibition,Unknown,No,0,No
Glimepiride,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Methylphenidate,Bortezomib,CYP2D6,CYP inhibition,Unknown,No,0,No
5-Fluorouracil,Pioglitazone,CYP2C9,CYP inhibition,Unknown,No,0,No
Oxazepam,Sorafenib,CYP3A4,CYP inhibition,Unknown,No,0,No
Irbesartan,Vincristine,CYP3A4,CYP inhibition,Unknown,No,0,No
Leflunomide,Nisoldipine,CYP1A2,CYP inhibition,Unknown,No,0,No
Verapamil,5-Fluorouracil,"ABCC3, CYP2C9","CYP inhibition, transporter inhibition",Unknown,No,0,No
Anastrozole,Paroxetine,CYP2C9,CYP inhibition,Unknown,No,0,No
Losartan,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Metronidazole,Imatinib,CYP3A4,CYP inhibition,Unknown,No,0,No
Loratadine,Thalidomide,CYP2C19,"CYP induction, CYP inhibition",Unknown,No,0,No
Torasemide,Bortezomib,CYP2C9,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Losartan,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Mitoxantrone,Tolterodine,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Quetiapine,CYP2D6,CYP inhibition,Unknown,No,0,No
Leflunomide,Triazolam,CYP2C9,CYP inhibition,Unknown,No,0,No
Amlodipine,Bicalutamide,CYP3A4,CYP inhibition,Unknown,No,0,No
5-Fluorouracil,Tolterodine,CYP2C9,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Anzemet,5-Fluorouracil,CYP2C9,CYP inhibition,Unknown,No,0,No
Alprazolam,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Pioglitazone,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Celecoxib,Loperamide,CYP2D6,CYP inhibition,Unknown,No,0,No
Arthrotec,Sorafenib,"ABCB1 (P-gp), CYP1A2","CYP inhibition, transporter inhibition",Unknown,No,0,No
Metoprolol,Sorafenib,"ABCB1 (P-gp), CYP2C19","CYP inhibition, transporter inhibition",Unknown,No,0,No
Bicalutamide,Celecoxib,CYP2D6,CYP inhibition,Unknown,No,0,No
Methylphenidate,Tamoxifen,CYP2D6,CYP inhibition,Unknown,No,0,No
Celecoxib,Cerivastatin,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Pantoprazole,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Leflunomide,Norfloxacin,CYP1A2,CYP inhibition,Unknown,No,0,No
Oxazepam,Imatinib,CYP3A4,CYP inhibition,Unknown,No,0,No
Aspirin,Gefitinib,"ABCB1 (P-gp), CYP2C19, CYP2C9","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Carmustine,Ondansetron,CYP1A2,CYP inhibition,Unknown,No,0,No
Memantine,Tamoxifen,CYP2B6,CYP inhibition,Unknown,No,0,No
Hydroxyurea,Ondansetron,CYP2D6,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Venlafaxine,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Prilosec,Arsenic Trioxide,CYP3A4,CYP inhibition,Unknown,No,0,No
Bortezomib,Palonosetron,CYP1A2,CYP inhibition,Unknown,No,0,No
Celecoxib,Propofol,CYP3A4,CYP inhibition,Unknown,No,0,No
Ketoprofen,Gefitinib,CYP2C9,CYP inhibition,Unknown,No,0,No
Bupropion,Celecoxib,CYP2D6,CYP inhibition,Unknown,No,0,No
Mitoxantrone,Pantoprazole,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Clopidogrel,Sorafenib,"ABCB1 (P-gp), CYP1A2","CYP inhibition, transporter inhibition",Unknown,No,0,No
Acetaminophen,Sorafenib,"ABCB1 (P-gp), CYP1A2, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Ofloxacin,Bortezomib,CYP1A2,CYP inhibition,Unknown,No,0,No
Raloxifene,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Ciprofloxacin,Letrozole,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Fexofenadine,CYP2D6,CYP inhibition,Unknown,No,0,No
Tolterodine,Sorafenib,CYP3A4,CYP inhibition,Unknown,No,0,No
Lansoprazole,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Ezetimibe,Sorafenib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Unknown,No,0,No
Fexofenadine,Bortezomib,CYP2D6,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Letrozole,"CYP2A6, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Cyclophosphamide,Mirtazapine,"CYP2D6, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Amlodipine,Hydroxyurea,CYP2D6,CYP inhibition,Unknown,No,0,No
Celecoxib,Valdecoxib,CYP2C9,CYP inhibition,Unknown,No,0,Yes
Ibuprofen,Ifosfamide,"CYP2C9, PTGS1","CYP induction, CYP inhibition",Unknown,No,0,No
Alprazolam,Cyclophosphamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Clopidogrel,Flutamide,CYP1A2,CYP inhibition,Unknown,No,0,No
Diazepam,Capecitabine,CYP2C9,CYP inhibition,Unknown,No,0,No
Atovaquone,Bortezomib,CYP2C9,CYP inhibition,Unknown,No,0,No
Celecoxib,Gefitinib,CYP2C9,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Arthrotec,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Fluconazole,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Hydroxyurea,Lansoprazole,CYP2D6,CYP inhibition,Unknown,No,0,No
Ibuprofen,Thalidomide,CYP2C19,CYP inhibition,Unknown,No,0,No
Hydroxyurea,Ritonavir,CYP2D6,CYP inhibition,Unknown,No,0,Yes
Glibenclamide,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Unknown,No,0,No
Propranolol,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Tolterodine,Bortezomib,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Lovastatin,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Arsenic Trioxide,Simvastatin,"ABCB1 (P-gp), ABCC2 (MRP2), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Aspirin,Erlotinib,CYP2C8,CYP inhibition,Unknown,No,0,No
Salbutamol,Celecoxib,CYP3A4,CYP inhibition,Unknown,No,0,No
Celecoxib,Metoclopramide,CYP2D6,CYP inhibition,Unknown,No,0,No
Anastrozole,Lansoprazole,"CYP1A2, CYP3A4","CYP induction, CYP inhibition",Unknown,No,0,No
Celecoxib,Diazepam,CYP3A4,CYP inhibition,Unknown,No,0,Yes
Pantoprazole,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Clotrimazole,Thalidomide,CYP2C19,CYP inhibition,Unknown,No,0,No
Leflunomide,Desloratadine,CYP1A2,CYP inhibition,Unknown,No,0,No
Mirtazapine,Bortezomib,"CYP1A2, CYP2D6","CYP induction, CYP inhibition",Unknown,No,0,No
Hydroxyurea,Nevirapine,CYP2D6,CYP inhibition,Unknown,No,0,Yes
Enalapril,Imatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Unknown,No,0,No
Bupropion,Erlotinib,CYP2C8,CYP inhibition,Unknown,No,0,No
Tamoxifen,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Risperidone,Temozolomide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Anastrozole,Glimepiride,CYP2C9,CYP inhibition,Unknown,No,0,No
Amlodipine,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Celecoxib,Phentermine,CYP2C9,"CYP induction, CYP inhibition",Unknown,No,0,No
Cyclophosphamide,Simvastatin,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Exemestane,Ezetimibe,CYP3A4,CYP inhibition,Unknown,No,0,No
Verapamil,Bortezomib,CYP1A2,CYP inhibition,Unknown,No,0,No
Nabumetone,Lenalidomide,PTGS2,CYP inhibition,Unknown,No,0,No
Imatinib,Telmisartan,"ABCB1 (P-gp), CYP2C19","CYP inhibition, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Loperamide,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Anastrozole,Enalapril,CYP3A4,CYP inhibition,Unknown,No,0,No
Citalopram,Gefitinib,CYP2C19,CYP inhibition,Unknown,No,0,No
Cyclophosphamide,Oxazepam,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Clonidine,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Celecoxib,Almotriptan,CYP2D6,CYP inhibition,Unknown,No,0,No
Propranolol,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Simvastatin,Sorafenib,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Cyclophosphamide,Oxybutynin,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Diazepam,Fulvestrant,CYP3A4,CYP inhibition,Unknown,No,0,No
Leflunomide,Paroxetine,CYP2C9,CYP inhibition,Unknown,No,0,No
Cyclobenzaprine,Gefitinib,CYP2D6,CYP inhibition,Unknown,No,0,No
Citalopram,Cyclophosphamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Lovastatin,Sorafenib,"ABCB1 (P-gp), CYP2C9, CYP3A4","CYP induction, CYP inhibition, transporter inhibition",Unknown,No,0,No
Salbutamol,Erlotinib,CYP3A4,CYP inhibition,Unknown,No,0,No
Diazepam,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Unknown,No,0,No
Salbutamol,Cyclophosphamide,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Tamoxifen,Temazepam,CYP3A4,"CYP induction, CYP inhibition",Unknown,No,0,No
Torasemide,Sorafenib,CYP2C9,CYP inhibition,Unknown,No,0,No
Ibuprofen,Lenalidomide,PTGS2,CYP inhibition,Unknown,No,0,No
Metoclopramide,Gefitinib,CYP2D6,CYP inhibition,Unknown,No,0,No
Losartan,Thalidomide,"CYP2C19, CYP3A5","CYP induction, CYP inhibition",Unknown,No,0,No
Bicalutamide,Ibuprofen,CYP2C9,CYP inhibition,Unknown,No,0,No
Fluconazole,Erlotinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Unknown,No,0,No
Anastrozole,Raloxifene,CYP3A4,CYP inhibition,Unknown,No,0,No
Bupropion,Anastrozole,CYP1A2,CYP inhibition,Unknown,No,0,No
