enzyme,HPO,AE_name,observed,expected,log2FE,p,q
CYP1A2,HP:0100739,Bulimia,36,21.3,0.76,0.0014743034530788604,0.01780682139421811
CYP1A2,HP:0001537,Umbilical hernia,122,93.1,0.39,0.001539744856326823,0.01848172009224587
CYP1A2,HP:0000646,Amblyopia,29,16.2,0.84,0.001744245924903917,0.020616240060408682
CYP1A2,HP:0003401,Paresthesia,648,579.9,0.16,0.001960537296932264,0.022687055846237127
CYP1A2,HP:0000738,Hallucinations,625,558.5,0.16,0.0020628743286001754,0.02353976323681148
CYP1A2,HP:0100796,Orchitis,32,18.8,0.77,0.002327680123947674,0.02622881539083895
CYP1A2,HP:0002355,Gait disturbance,397,345.9,0.2,0.002675619445900197,0.029212624741254977
CYP1A2,HP:0000622,Blurred vision,668,601.2,0.15,0.002712286054082847,0.02952953689867663
CYP1A2,HP:0000858,Irregular menstruation,70,49.9,0.49,0.0028615725734473098,0.0308077381514592
CYP1A2,HP:0000488,Retinopathy,123,95.9,0.36,0.0030622461599909426,0.032226444679492455
CYP1A2,HP:0100633,Esophagitis,485,430.2,0.17,0.0036014993149093206,0.03653489462499875
CYP1A2,HP:0000976,Eczematoid dermatitis,215,179.2,0.26,0.003684683947144085,0.037183559936584565
CYP1A2,HP:0100607,Dysmenorrhea,56,38.8,0.53,0.003918811900802859,0.038938625563296456
CYP1A2,HP:0000836,Hyperthyroidism,217,181.3,0.26,0.003941969029765503,0.03906592384626582
CYP1A2,HP:0012387,Bronchitis,695,630.6,0.14,0.0043634266344741235,0.042161609855606214
CYP1A2,HP:0001688,Sinus bradycardia,313,270.6,0.21,0.004564202984607004,0.04366496172154968
CYP1A2,HP:0003418,Back pain,919,845.5,0.12,0.004744899392056348,0.044297188768835226
CYP1A2,HP:0001618,Dysphonia,330,286.6,0.2,0.004792494338816328,0.04441964177344151
CYP1A2,HP:0030166,Night sweats,405,356.8,0.18,0.004819945612986905,0.044567200464579876
CYP1A2,HP:0000011,Neurogenic bladder,117,92.0,0.35,0.0048962178421862205,0.04466083792535445
